Query,Error,Type
c1,,q-error-SS
c2,,q-error-SS
c3,,q-error-SS
f1,2.760000,q-error-SS
f2,,q-error-SS
f3,,q-error-SS
f4,,q-error-SS
f5,,q-error-SS
s1,120.850000,q-error-SS
s2,1.140000,q-error-SS
s3,2.330000,q-error-SS
s4,,q-error-SS
s5,5.140000,q-error-SS
s6,2.970000,q-error-SS
s7,17.780000,q-error-SS
s8,1.580000,q-error-SS
s9,2.000000,q-error-SS
s10,233.950000,q-error-SS
s11,8844.280000,q-error-SS
s12,9.760000,q-error-SS
c1,1.630000,q-error-GS
c2,21736.000000,q-error-GS
c3,1.010000,q-error-GS
f1,1.510000,q-error-GS
f2,3.490000,q-error-GS
f3,2.320000,q-error-GS
f4,30851.050000,q-error-GS
f5,5.900000,q-error-GS
s1,30.090000,q-error-GS
s2,1.140000,q-error-GS
s3,1.790000,q-error-GS
s4,981.850000,q-error-GS
s5,5.140000,q-error-GS
s6,1.350000,q-error-GS
s7,4.430000,q-error-GS
s8,1.580000,q-error-GS
s9,1.640000,q-error-GS
s10,115.520000,q-error-GS
s11,522.260000,q-error-GS
s12,11.510000,q-error-GS
c1,246.495767,q-error-GDB
c2,12.169623,q-error-GDB
c3,6.600947,q-error-GDB
f1,5.101121,q-error-GDB
f2,7.897864,q-error-GDB
f3,1.022652,q-error-GDB
f4,12.725290,q-error-GDB
f5,18.181689,q-error-GDB
s1,1.109532,q-error-GDB
s2,1.268708,q-error-GDB
s3,1.269005,q-error-GDB
s4,1.723185,q-error-GDB
s5,1.696391,q-error-GDB
s6,2.243812,q-error-GDB
s7,1.820731,q-error-GDB
s8,1.513101,q-error-GDB
s9,76.691611,q-error-GDB
s10,1.091535,q-error-GDB
s11,4.141791,q-error-GDB
s12,10.955944,q-error-GDB
c1,43670.22,q-error-CS
c2,145.88,q-error-CS
c3,138.00,q-error-CS
f1,199.26,q-error-CS
f2,17.34,q-error-CS
f3,59.17,q-error-CS
f4,11865.75,q-error-CS
f5,5.34,q-error-CS
s1,154.91,q-error-CS
s2,58.73,q-error-CS
s3,44.97,q-error-CS
s4,5029.63,q-error-CS
s5,1.70,q-error-CS
s6,5.04,q-error-CS
s7,8.39,q-error-CS
s8,1.01,q-error-CS
s9,24456.50,q-error-CS
s10,20.14,q-error-CS
s11,2.41,q-error-CS
s12,1630.43,q-error-CS
c1,11.41243551,q-error-SumRDF
c2,36.80180346,q-error-SumRDF
c3,138,q-error-SumRDF
f1,1.762663305,q-error-SumRDF
f2,4.501931385,q-error-SumRDF
f3,44.41754985,q-error-SumRDF
f4,34.40934555,q-error-SumRDF
s1,11.55894795,q-error-SumRDF
s2,1.166195456,q-error-SumRDF
s3,2.401285491,q-error-SumRDF
s4,1.98493197,q-error-SumRDF
s5,1.369572963,q-error-SumRDF
s6,2.613833519,q-error-SumRDF
s7,4.341805501,q-error-SumRDF
s8,1.011488622,q-error-SumRDF
f5,1.021708853,q-error-SumRDF
s9,9,q-error-SumRDF
s10,6.600543478,q-error-SumRDF
s11,29.59097525,q-error-SumRDF
s12,2.433333333,q-error-SumRDF